GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-junit-lab,com.example,Calculator,0,30,0,2,0,7,0,6,0,5
java-junit-lab,com.example,StrUtils,3,83,0,12,1,12,1,8,1,2
